"Jabatan","Perusahaan","Alamat","Gaji","Kategori"
"IT Staff","PT Pendekar Bodoh","Tangerang, Banten","","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Backend Developer","PT. Metrodata Electronics, Tbk","Jakarta Barat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
".Net Developer","PT. Berca Hardayaperkasa","Jakarta Pusat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"ADMIN ACCOUNTING & FINANCE","PT Arta Plastika Mandiri","Jakarta Utara, Jakarta Raya","Rp 4.500.000 – Rp 5.000.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Senior Full Stack Engineer","PT Royal Pesona Indonesia (Somethinc – Beautyhaul)","Jakarta Barat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Front End Developer","PT. Metrocomjaddi Technology","Jakarta Selatan, Jakarta Raya","Rp 6.000.000 – Rp 8.000.000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Secretary to Director - Mandarin Speaker","PT Harrisma Informatika Jaya","Jakarta Barat, Jakarta Raya","Rp 8,000,000 – Rp 12,000,000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
".Net Developer","PT Bumi Amartha Teknologi Mandiri","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin cum Account Executive","Texchem Corporation Sdn Bhd","Jakarta Selatan, Jakarta Raya","Rp 7,000,000 – Rp 8,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin","PT SUMBER LOGAM SETIADY","Jakarta Barat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Chinese Desk Specialist (Chinese Speaker) - Global Entity Management Services","PT TMF Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Manajemen PerkantoranManajemen Perkantoranclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Junior Programmer","PT Microvac Indonesia","Jakarta Timur, Jakarta Raya","Rp 4,500,000 – Rp 6,500,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin HR Staff","PT Asuransi Maximus Graha Persada Tbk","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Head of Technology for E Commerce","PT Matahari Department Store Tbk","Tangerang, Banten","","subClassification: ManajemenManajemenclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Operation Office","PT Xin Ming Hua Engine","Jakarta Utara, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Developer","Swiss German University Asia (SGU)","Tangerang, Banten","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Support","PT. Indo Asean Trada","Tangerang, Banten","Rp 3.000.000 – Rp 4.500.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Backend Developer (Python)","PT Ako Media Asia","Jakarta Barat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Asisten Mandarin","PT GOGOGO TECHNOLOGY INDONESIA","Jakarta Barat, Jakarta Raya","Rp 5.500.000 – Rp 7.000.000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"General Admin","PT Ega Paintindo","Jakarta Utara, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
".Net Developer","PT XSIS MITRA UTAMA - Recruitment Center","Jakarta Selatan, Jakarta Raya","","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Secretary BOD","PRIMA GROUP","Tangerang, Banten","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT DEVELOPER (.NET CORE)","PT Mega Central Finance","Jakarta Barat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"PERSONAL  ASSISTANT","PT ZEF Energi","Jakarta Utara, Jakarta Raya","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Project Manager","PT Elang Strategi Adidaya","Depok, Jawa Barat","Rp 6.500.000 – Rp 8.500.000 per month","subClassification: Manajemen Program & ProyekManajemen Program & Proyekclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Operational Data Support Senior Officer","PT. AEON Indonesia","Tangerang, Banten","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"System Analyst","PT Solman Tekno Asia","Jakarta Pusat, Jakarta Raya","","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Product and Presales (Microsoft)","PT Intikom Berlian Mustika","Jakarta Selatan, Jakarta Raya","","subClassification: Penjualan – Pra & PascaPenjualan – Pra & Pascaclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IOS Developer","PT Cyberindo Sinergi Sistem","Jakarta Pusat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Senior Front End Developer","PT Gajah Agung Mandiri","Jakarta Pusat, Jakarta Raya","Rp 8,800,000 – Rp 13,200,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Customer Service","PT DyKa Konsultama","Jakarta Selatan, Jakarta Raya","","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Data Steward Business Partner","PT Bank Sinarmas, Tbk","Jakarta Barat, Jakarta Raya","","subClassification: Pengembangan & Administrasi DatabasePengembangan & Administrasi Databaseclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"General Affair Officer","Ekalavya Prima","Jakarta Pusat, Jakarta Raya","","subClassification: LainnyaLainnyaclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Mandarin Speaking","PT KEX NEX EXPRESS","Cipayung, Jakarta Raya","Rp 8.000.000 – Rp 10.000.000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Onsite Engineer CCNP","PT Nusantara Compnet Integrator","Tangerang Selatan, Banten","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Operations and Infrastructure Specialist","PT. LIPPO KARAWACI TBK","Karawaci, Banten","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"STAFF ADMINISTRASI","PT Jesi Jason Surya Makmur","Jakarta Utara, Jakarta Raya","Rp 4.000.000 – Rp 6.000.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"HR System Helpdesk Staff","PT Bussan Auto Finance (BAF)","Jakarta Selatan, Jakarta Raya","","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Backend Developer (Software Engineer)","PT Informasi Teknologi Indonesia","Mampang Prapatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"SENIOR SECRETARY for CEO","PT Matahari Department Store Tbk","Tangerang, Banten","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Implementor","PT Fortress Data Services","Jakarta Pusat, Jakarta Raya","","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Operational Manager (Managed Services - Telecommunication)","","Jakarta Selatan, Jakarta Raya","","subClassification: ManajemenManajemenclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Senior Software Developer (Freelance, opportunity for employment contracts)","PT Chrombit Digital Lab","Jakarta Selatan, Jakarta Raya","Rp 36,000,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Data Entry  (Project Based)","","Jakarta Selatan, Jakarta Raya","","subClassification: Entri Data & Pengolahan KataEntri Data & Pengolahan Kataclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Senior Product Owner","Dexa Group","Tangerang, Banten","","subClassification: Manajemen & Pengembangan ProdukManajemen & Pengembangan Produkclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Frontend Developer (Software Engineer)","PT Informasi Teknologi Indonesia","Mampang Prapatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Corporate Administration Japanese Speaker","PT OS Selnajaya Indonesia","Cikampek, Jawa Barat","Rp 11,000,000 – Rp 13,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Admin Pergudangan","","Tangerang, Banten","Rp 4.750.000 – Rp 5.000.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Developer","PT Surganya Motor Indonesia (PLANET BAN)","Depok, Jawa Barat","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"TECHNICAL SUPPORT MARKETING - TANGERANG","PT Karya Anugerah Jaya","Tangerang Selatan, Banten","Rp 5,000,000 – Rp 6,000,000 per month","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Salesforce Developer","PT Infra Solusi Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Business Development Administration Staff","PT Tokyu Land Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Backend Developer","PT Panin Dai-ichi Life","Jakarta Barat, Jakarta Raya","","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Project Management Infrastruktur","MAYAPADA HEALTHCARE","Jakarta Selatan, Jakarta Raya","","subClassification: Manajemen Program & ProyekManajemen Program & Proyekclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Sales Supervisor IT","DNR Corporation","Jakarta Barat, Jakarta Raya","","subClassification: Penjualan – Pra & PascaPenjualan – Pra & Pascaclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Java Developer (Spring)","PT Cyberindo Sinergi Sistem","Jakarta Pusat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Senior IT Business Architecture","PT Adira Dinamika Multi Finance Tbk","Jakarta Selatan, Jakarta Raya","","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Internship Administration","PT Berlian Laju Tanker, Tbk","Jakarta Pusat, Jakarta Raya","Rp 1,600,000 – Rp 2,000,000 per month","subClassification: LainnyaLainnyaclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Security and Policy Specialist","Savoria Group","Jakarta Pusat, Jakarta Raya","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"QA Automation Team Lead","PT BCI CENTRAL INDONESIA","Jakarta Selatan, Jakarta Raya","","subClassification: Uji Coba & Penjaminan MutuUji Coba & Penjaminan Mutuclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"JAVA / .NET  DEV","","Jakarta Timur, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin & Live","PT BENZ","Ciputat Timur, Banten","Rp 2.000.000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Product Manager","PT Media Indonusa (Jakarta)","Jakarta Pusat, Jakarta Raya","","subClassification: Manajemen & Pengembangan ProdukManajemen & Pengembangan Produkclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Senior Fullstack Developer","PT Administrasi Medika","Jakarta Pusat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Security Staff","Pengelola Nama Domain Internet Indonesia (PANDI)","Tangerang, Banten","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Sales Admin Mandarin","PT Sany Perkasa","Jakarta Utara, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Information Technology Security Senior Manager","PT KB Finansia Multi Finance","Jakarta Selatan, Jakarta Raya","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Senior IT Project Manager","PT JAC Consulting Indonesia","Jakarta Utara, Jakarta Raya","Rp 20,000,000 – Rp 25,000,000 per month","subClassification: Manajemen Program & ProyekManajemen Program & Proyekclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Full Stack Software Engineer","OH! Print","Serpong Utara, Banten","Rp 7,500,000 – Rp 10,000,000 per month","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Mobile Developer","wigathagroup","Jakarta Barat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Network Engineer Lead","PT KB Finansia Multi Finance","Jakarta Selatan, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Product Manager IoT dan Automation System","Dexa Group","Tangerang, Banten","","subClassification: Manajemen & Pengembangan ProdukManajemen & Pengembangan Produkclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Warehouse Administration Staff","PT Suryamas Lumisindo Dwidaya","Jakarta Pusat, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
